id,title,categories,abstract
0704.1692,"Effects of accelerating growth on the evolution of weighted complex
  networks",physics.soc-ph,"  Many real systems possess accelerating statistics where the total number of
edges grows faster than the network size. In this paper, we propose a simple
weighted network model with accelerating growth. We derive analytical
expressions for the evolutions and distributions for strength, degree, and
weight, which are relevant to accelerating growth. We also find that
accelerating growth determines the clustering coefficient of the networks.
Interestingly, the distributions for strength, degree, and weight display a
transition from scale-free to exponential form when the parameter with respect
to accelerating growth increases from a small to large value. All the
theoretical predictions are successfully contrasted with extensive numerical
simulations.
"
0904.0776,"Induction of High-level Behaviors from Problem-solving Traces using
  Machine Learning Tools",stat.ML cs.LG,"  This paper applies machine learning techniques to student modeling. It
presents a method for discovering high-level student behaviors from a very
large set of low-level traces corresponding to problem-solving actions in a
learning environment. Basic actions are encoded into sets of domain-dependent
attribute-value patterns called cases. Then a domain-independent hierarchical
clustering identifies what we call general attitudes, yielding automatic
diagnosis expressed in natural language, addressed in principle to teachers.
The method can be applied to individual students or to entire groups, like a
class. We exhibit examples of this system applied to thousands of students'
actions in the domain of algebraic transformations.
"
0704.2990,"The principle of a virtual multi-channel lock-in amplifier and its
  application to magnetoelectric measurement system",physics.ins-det,"  This letter presents principles and applications of a virtual multi-channel
lock-in amplifier that is a simple but effective method to recover small ac
signal from noise with high presison. The fundamentals of this method are based
on calculation of cross-correlation function. Via this method, we successfully
built up a magnetoelectric measurement system which can perform precise and
versatile measurements without any analog lock-in amplifier. Using the virtual
multi-channel lock-in amplifier, the output of the magnetoelectric measurement
system is extensively rich in magnetoelectric coupling behaviors, including
coupling strength and phase lag, under various dc bias magnetic field and ac
magnetic field.
"
0704.0334,A Multiphilic Descriptor for Chemical Reactivity and Selectivity,physics.chem-ph,"  In line with the local philicity concept proposed by Chattaraj et al.
(Chattaraj, P. K.; Maiti, B.; Sarkar, U. J. Phys. Chem. A. 2003, 107, 4973) and
a dual descriptor derived by Toro-Labbe and coworkers (Morell, C.; Grand, A.;
Toro-Labbe, A. J. Phys. Chem. A. 2005, 109, 205), we propose a multiphilic
descriptor. It is defined as the difference between nucleophilic (Wk+) and
electrophilic (Wk-) condensed philicity functions. This descriptor is capable
of simultaneously explaining the nucleophilicity and electrophilicity of the
given atomic sites in the molecule. Variation of these quantities along the
path of a soft reaction is also analyzed. Predictive ability of this descriptor
has been successfully tested on the selected systems and reactions.
Corresponding force profiles are also analyzed in some representative cases.
Also, to study the intra- and intermolecular reactivities another related
descriptor namely, the nucleophilicity excess (DelW-+) for a nucleophile, over
the electrophilicity in it has been defined and tested on all-metal aromatic
compounds.
"
0704.3190,MICS Asia Phase II - Sensitivity to the aerosol module,physics.ao-ph,"  In the framework of the model inter-comparison study - Asia Phase II (MICS2),
where eight models are compared over East Asia, this paper studies the
influence of different parameterizations used in the aerosol module on the
aerosol concentrations of sulfate and nitrate in PM10. An intracomparison of
aerosol concentrations is done for March 2001 using different configurations of
the aerosol module of one of the model used for the intercomparison. Single
modifications of a reference setup for model configurations are performed and
compared to a reference case. These modifications concern the size
distribution, i.e. the number of sections, and physical processes, i.e.
coagulation, condensation/evaporation, cloud chemistry, heterogeneous reactions
and sea-salt emissions. Comparing monthly averaged concentrations at different
stations, the importance of each parameterization is first assessed. It is
found that sulfate concentrations are little sensitive to sea-salt emissions
and to whether condensation is computed dynamically or by assuming
thermodynamic equilibrium. Nitrate concentrations are little sensitive to cloud
chemistry. However, a very high sensitivity to heterogeneous reactions is
observed. Thereafter, the variability of the aerosol concentrations to the use
of different chemistry transport models (CTMs) and the variability to the use
of different parameterizations in the aerosol module are compared. For sulfate,
the variability to the use of different parameterizations in the aerosol module
is lower than the variability to the use of different CTMs. However, for
nitrate, for monthly averaged concentrations averaged over four stations, these
two variabilities have the same order of magnitude.
"
0708.1564,Learning Phonotactics Using ILP,cs.CL,"  This paper describes experiments on learning Dutch phonotactic rules using
Inductive Logic Programming, a machine learning discipline based on inductive
logical operators. Two different ways of approaching the problem are
experimented with, and compared against each other as well as with related work
on the task. The results show a direct correspondence between the quality and
informedness of the background knowledge and the constructed theory,
demonstrating the ability of ILP to take good advantage of the prior domain
knowledge available. Further research is outlined.
"
0711.3454,Graphes param\'etr\'es et outils de lexicalisation,cs.CL,"  Shifting to a lexicalized grammar reduces the number of parsing errors and
improves application results. However, such an operation affects a syntactic
parser in all its aspects. One of our research objectives is to design a
realistic model for grammar lexicalization. We carried out experiments for
which we used a grammar with a very simple content and formalism, and a very
informative syntactic lexicon, the lexicon-grammar of French elaborated by the
LADL. Lexicalization was performed by applying the parameterized-graph
approach. Our results tend to show that most information in the lexicon-grammar
can be transferred into a grammar and exploited successfully for the syntactic
parsing of sentences.
"
0801.3817,"Robustness Evaluation of Two CCG, a PCFG and a Link Grammar Parsers",cs.CL,"  Robustness in a parser refers to an ability to deal with exceptional
phenomena. A parser is robust if it deals with phenomena outside its normal
range of inputs. This paper reports on a series of robustness evaluations of
state-of-the-art parsers in which we concentrated on one aspect of robustness:
its ability to parse sentences containing misspelled words. We propose two
measures for robustness evaluation based on a comparison of a parser's output
for grammatical input sentences and their noisy counterparts. In this paper, we
use these measures to compare the overall robustness of the four evaluated
parsers, and we present an analysis of the decline in parser performance with
increasing error levels. Our results indicate that performance typically
declines tens of percentage units when parsers are presented with texts
containing misspellings. When it was tested on our purpose-built test set of
443 sentences, the best parser in the experiment (C&C parser) was able to
return exactly the same parse tree for the grammatical and ungrammatical
sentences for 60.8%, 34.0% and 14.9% of the sentences with one, two or three
misspelled words respectively.
"
chem-ph/9403001,"Fourier Path Integral Monte Carlo Method for the Calculation of the
  Microcanonical Density of States",chem-ph physics.chem-ph,"  Using a Hubbard-Stratonovich transformation coupled with Fourier path
integral methods, expressions are derived for the numerical evaluation of the
microcanonical density of states for quantum particles obeying Boltzmann
statistics. A numerical algorithmis suggested to evaluate the quantum density
of states and illustrated on a one-dimensional model system.
"
0706.1080,"WACA: A Hierarchical Weighted Clustering Algorithm optimized for Mobile
  Hybrid Networks",cs.DC cs.NI,"  Clustering techniques create hierarchal network structures, called clusters,
on an otherwise flat network. In a dynamic environment-in terms of node
mobility as well as in terms of steadily changing device parameters-the
clusterhead election process has to be re-invoked according to a suitable
update policy. Cluster re-organization causes additional message exchanges and
computational complexity and it execution has to be optimized. Our
investigations focus on the problem of minimizing clusterhead re-elections by
considering stability criteria. These criteria are based on topological
characteristics as well as on device parameters. This paper presents a weighted
clustering algorithm optimized to avoid needless clusterhead re-elections for
stable clusters in mobile ad-hoc networks. The proposed localized algorithm
deals with mobility, but does not require geographical, speed or distances
information.
"
0804.4682,Introduction to Relational Networks for Classification,cs.LG,"  The use of computational intelligence techniques for classification has been
used in numerous applications. This paper compares the use of a Multi Layer
Perceptron Neural Network and a new Relational Network on classifying the HIV
status of women at ante-natal clinics. The paper discusses the architecture of
the relational network and its merits compared to a neural network and most
other computational intelligence classifiers. Results gathered from the study
indicate comparable classification accuracies as well as revealed relationships
between data features in the classification data. Much higher classification
accuracies are recommended for future research in the area of HIV
classification as well as missing data estimation.
"
0704.1547,"AFM Imaging of SWI/SNF action: mapping the nucleosome remodeling and
  sliding",physics.bio-ph cond-mat.soft q-bio.BM,"  We propose a combined experimental (Atomic Force Microscopy) and theoretical
study of the structural and dynamical properties of nucleosomes. In contrast to
biochemical approaches, this method allows to determine simultaneously the DNA
complexed length distribution and nucleosome position in various contexts.
First, we show that differences in the nucleo-proteic structure observed
between conventional H2A and H2A.Bbd variant nucleosomes induce quantitative
changes in the in the length distribution of DNA complexed with histones. Then,
the sliding action of remodeling complex SWI/SNF is characterized through the
evolution of the nucleosome position and wrapped DNA length mapping. Using a
linear energetic model for the distribution of DNA complexed length, we extract
the net wrapping energy of DNA onto the histone octamer, and compare it to
previous studies.
"
1001.3181,"Weak ties: Subtle role of information diffusion in online social
  networks",cs.SI cond-mat.stat-mech physics.soc-ph,"  As a social media, online social networks play a vital role in the social
information diffusion. However, due to its unique complexity, the mechanism of
the diffusion in online social networks is different from the ones in other
types of networks and remains unclear to us. Meanwhile, few works have been
done to reveal the coupled dynamics of both the structure and the diffusion of
online social networks. To this end, in this paper, we propose a model to
investigate how the structure is coupled with the diffusion in online social
networks from the view of weak ties. Through numerical experiments on
large-scale online social networks, we find that in contrast to some previous
research results, selecting weak ties preferentially to republish cannot make
the information diffuse quickly, while random selection can achieve this goal.
However, when we remove the weak ties gradually, the coverage of the
information will drop sharply even in the case of random selection. We also
give a reasonable explanation for this by extra analysis and experiments.
Finally, we conclude that weak ties play a subtle role in the information
diffusion in online social networks. On one hand, they act as bridges to
connect isolated local communities together and break through the local
trapping of the information. On the other hand, selecting them as preferential
paths to republish cannot help the information spread further in the network.
As a result, weak ties might be of use in the control of the virus spread and
the private information diffusion in real-world applications.
"
0801.4716,"Methods to integrate a language model with semantic information for a
  word prediction component",cs.CL,"  Most current word prediction systems make use of n-gram language models (LM)
to estimate the probability of the following word in a phrase. In the past
years there have been many attempts to enrich such language models with further
syntactic or semantic information. We want to explore the predictive powers of
Latent Semantic Analysis (LSA), a method that has been shown to provide
reliable information on long-distance semantic dependencies between words in a
context. We present and evaluate here several methods that integrate LSA-based
information with a standard language model: a semantic cache, partial
reranking, and different forms of interpolation. We found that all methods show
significant improvements, compared to the 4-gram baseline, and most of them to
a simple cache model as well.
"
0705.3616,On How Developers Test Open Source Software Systems,cs.SE,"  Engineering software systems is a multidisciplinary activity, whereby a
number of artifacts must be created - and maintained - synchronously. In this
paper we investigate whether production code and the accompanying tests
co-evolve by exploring a project's versioning system, code coverage reports and
size-metrics. Three open source case studies teach us that testing activities
usually start later on during the lifetime and are more ""phased"", although we
did not observe increasing testing activity before releases. Furthermore, we
note large differences in the levels of test coverage given the proportion of
test code.
"
0705.1388,"Some properties of the resonant state in quantum mechanics and its
  computation",quant-ph cond-mat.mes-hall cond-mat.stat-mech nucl-th physics.atom-ph,"  The resonant state of the open quantum system is studied from the viewpoint
of the outgoing momentum flux. We show that the number of particles is
conserved for a resonant state, if we use an expanding volume of integration in
order to take account of the outgoing momentum flux; the number of particles
would decay exponentially in a fixed volume of integration. Moreover, we
introduce new numerical methods of treating the resonant state with the use of
the effective potential. We first give a numerical method of finding a
resonance pole in the complex energy plane. The method seeks an energy
eigenvalue iteratively. We found that our method leads to a super-convergence,
the convergence exponential with respect to the iteration step. The present
method is completely independent of commonly used complex scaling. We also give
a numerical trick for computing the time evolution of the resonant state in a
limited spatial area. Since the wave function of the resonant state is
diverging away from the scattering potential, it has been previously difficult
to follow its time evolution numerically in a finite area.
"
0705.0150,Comparison of Discrete and Continuous Wavelet Transforms,cs.CE,"  In this paper we outline several points of view on the interplay between
discrete and continuous wavelet transforms; stressing both pure and applied
aspects of both. We outline some new links between the two transform
technologies based on the theory of representations of generators and
relations. By this we mean a finite system of generators which are represented
by operators in Hilbert space. We further outline how these representations
yield sub-band filter banks for signal and image processing algorithms.
"
0705.0248,MCHIT - Monte Carlo model for proton and heavy-ion therapy,physics.med-ph,"  We study the propagation of nucleons and nuclei in tissue-like media within a
Monte Carlo Model for Heavy-ion Therapy (MCHIT) based on the GEANT4 toolkit
(version 8.2). The model takes into account fragmentation of projectile nuclei
and secondary interactions of produced nuclear fragments. Model predictions are
validated with available experimental data obtained for water and PMMA phantoms
irradiated by monoenergetic carbon-ion beams. The MCHIT model describes well
(1) the depth-dose distributions in water and PMMA, (2) the doses measured for
fragments of certain charge, (3) the distributions of positron emitting nuclear
fragments produced by carbon-ion beams, and (4) the energy spectra of secondary
neutrons measured at different angles to the beam direction. Radial dose
profiles for primary nuclei and for different projectile fragments are
calculated and discussed as possible input for evaluation of biological dose
distributions. It is shown that at the periphery of the transverse dose profile
close to the Bragg peak the dose from secondary nuclear fragments is comparable
to the dose from primary nuclei.
"
0704.3905,Ensemble Learning for Free with Evolutionary Algorithms ?,cs.AI,"  Evolutionary Learning proceeds by evolving a population of classifiers, from
which it generally returns (with some notable exceptions) the single
best-of-run classifier as final result. In the meanwhile, Ensemble Learning,
one of the most efficient approaches in supervised Machine Learning for the
last decade, proceeds by building a population of diverse classifiers. Ensemble
Learning with Evolutionary Computation thus receives increasing attention. The
Evolutionary Ensemble Learning (EEL) approach presented in this paper features
two contributions. First, a new fitness function, inspired by co-evolution and
enforcing the classifier diversity, is presented. Further, a new selection
criterion based on the classification margin is proposed. This criterion is
used to extract the classifier ensemble from the final population only
(Off-line) or incrementally along evolution (On-line). Experiments on a set of
benchmark problems show that Off-line outperforms single-hypothesis
evolutionary learning and state-of-art Boosting and generates smaller
classifier ensembles.
"
0704.2548,Triggering at High Luminosity Colliders,physics.ins-det hep-ex,"  This article discusses the techniques used to select online promising events
at high energy and high luminosity colliders. After a brief introduction,
explaining some general aspects of triggering, the more specific implementation
options for well established machines like the Tevatron and Large Hadron
Collider are presented. An outlook on what difficulties need to be met is given
when designing trigger systems at the Super Large Hadron Collider, or at the
International Linear Collider
"
0802.1002,New Estimation Procedures for PLS Path Modelling,cs.LG,"  Given R groups of numerical variables X1, ... XR, we assume that each group
is the result of one underlying latent variable, and that all latent variables
are bound together through a linear equation system. Moreover, we assume that
some explanatory latent variables may interact pairwise in one or more
equations. We basically consider PLS Path Modelling's algorithm to estimate
both latent variables and the model's coefficients. New ""external"" estimation
schemes are proposed that draw latent variables towards strong group structures
in a more flexible way. New ""internal"" estimation schemes are proposed to
enable PLSPM to make good use of variable group complementarity and to deal
with interactions. Application examples are given.
"
0704.0213,"Geometric Complexity Theory V: On deciding nonvanishing of a generalized
  Littlewood-Richardson coefficient",cs.CC,"  This article has been withdrawn because it has been merged with the earlier
article GCT3 (arXiv: CS/0501076 [cs.CC]) in the series. The merged article is
now available as:
  Geometric Complexity Theory III: on deciding nonvanishing of a
Littlewood-Richardson Coefficient, Journal of Algebraic Combinatorics, vol. 36,
issue 1, 2012, pp. 103-110. (Authors: Ketan Mulmuley, Hari Narayanan and Milind
Sohoni)
  The new article in this GCT5 slot in the series is:
  Geometric Complexity Theory V: Equivalence between blackbox derandomization
of polynomial identity testing and derandomization of Noether's Normalization
Lemma, in the Proceedings of FOCS 2012 (abstract), arXiv:1209.5993 [cs.CC]
(full version) (Author: Ketan Mulmuley)
"
0711.0811,"Combined Acoustic and Pronunciation Modelling for Non-Native Speech
  Recognition",cs.CL,"  In this paper, we present several adaptation methods for non-native speech
recognition. We have tested pronunciation modelling, MLLR and MAP non-native
pronunciation adaptation and HMM models retraining on the HIWIRE foreign
accented English speech database. The ``phonetic confusion'' scheme we have
developed consists in associating to each spoken phone several sequences of
confused phones. In our experiments, we have used different combinations of
acoustic models representing the canonical and the foreign pronunciations:
spoken and native models, models adapted to the non-native accent with MAP and
MLLR. The joint use of pronunciation modelling and acoustic adaptation led to
further improvements in recognition accuracy. The best combination of the above
mentioned techniques resulted in a relative word error reduction ranging from
46% to 71%.
"
1009.3455,A control-theoretical methodology for the scheduling problem,cs.SY,"  This paper presents a novel methodology to develop scheduling algorithms. The
scheduling problem is phrased as a control problem, and control-theoretical
techniques are used to design a scheduling algorithm that meets specific
requirements. Unlike most approaches to feedback scheduling, where a controller
integrates a ""basic"" scheduling algorithm and dynamically tunes its parameters
and hence its performances, our methodology essentially reduces the design of a
scheduling algorithm to the synthesis of a controller that closes the feedback
loop. This approach allows the re-use of control-theoretical techniques to
design efficient scheduling algorithms; it frames and solves the scheduling
problem in a general setting; and it can naturally tackle certain peculiar
requirements such as robustness and dynamic performance tuning. A few
experiments demonstrate the feasibility of the approach on a real-time
benchmark.
"
1708.06336,"Analysis of Optimal Combining in Rician Fading with Co-channel
  Interference",eess.SP cs.IT math.IT,"  Approximate Symbol error rate (SER), outage probability and rate expressions
are derived for receive diversity system employing optimum combining when both
the desired and the interfering signals are subjected to Rician fading, for the
cases of a) equal power uncorrelated interferers b) unequal power interferers
c) interferer correlation. The derived expressions are applicable for an
arbitrary number of receive antennas and interferers and for any quadrature
amplitude modulation (QAM) constellation. Furthermore, we derive a simple
closed form expression for SER in the interference-limited regime, for the
special case of Rayleigh faded interferers. A close match is observed between
the SER, outage probability and rate results obtained through the derived
analytical expressions and the ones obtained from Monte-Carlo simulations.
"
0704.2259,The Wiretap Channel with Feedback: Encryption over the Channel,cs.IT cs.CR math.IT,"  In this work, the critical role of noisy feedback in enhancing the secrecy
capacity of the wiretap channel is established. Unlike previous works, where a
noiseless public discussion channel is used for feedback, the feed-forward and
feedback signals share the same noisy channel in the present model. Quite
interestingly, this noisy feedback model is shown to be more advantageous in
the current setting. More specifically, the discrete memoryless modulo-additive
channel with a full-duplex destination node is considered first, and it is
shown that the judicious use of feedback increases the perfect secrecy capacity
to the capacity of the source-destination channel in the absence of the
wiretapper. In the achievability scheme, the feedback signal corresponds to a
private key, known only to the destination. In the half-duplex scheme, a novel
feedback technique that always achieves a positive perfect secrecy rate (even
when the source-wiretapper channel is less noisy than the source-destination
channel) is proposed. These results hinge on the modulo-additive property of
the channel, which is exploited by the destination to perform encryption over
the channel without revealing its key to the source. Finally, this scheme is
extended to the continuous real valued modulo-$\Lambda$ channel where it is
shown that the perfect secrecy capacity with feedback is also equal to the
capacity in the absence of the wiretapper.
"
0705.1309,Robust Multi-Cellular Developmental Design,cs.AI,"  This paper introduces a continuous model for Multi-cellular Developmental
Design. The cells are fixed on a 2D grid and exchange ""chemicals"" with their
neighbors during the growth process. The quantity of chemicals that a cell
produces, as well as the differentiation value of the cell in the phenotype,
are controlled by a Neural Network (the genotype) that takes as inputs the
chemicals produced by the neighboring cells at the previous time step. In the
proposed model, the number of iterations of the growth process is not
pre-determined, but emerges during evolution: only organisms for which the
growth process stabilizes give a phenotype (the stable state), others are
declared nonviable. The optimization of the controller is done using the NEAT
algorithm, that optimizes both the topology and the weights of the Neural
Networks. Though each cell only receives local information from its neighbors,
the experimental results of the proposed approach on the 'flags' problems (the
phenotype must match a given 2D pattern) are almost as good as those of a
direct regression approach using the same model with global information.
Moreover, the resulting multi-cellular organisms exhibit almost perfect
self-healing characteristics.
"
0707.3014,"Situations d'apprentissage collectives instrument\'ees : \'etude de
  pratiques dans l'enseignement sup\'erieur",cs.CY,"  Currently, educational platforms propose many tools of communication,
production, labour division or collective work management in order to support
collective activities. But it is not guaranteed that actors (instructional
designers, tutors or learner) are really using them. Our work, describe
characteristics of instrumented learning situations (ICLS) in the higher
education. Our intention is to determine: if ICLS are really existing; which
form they take (in terms of scenario, tools, type of activity...) ; if
recommendations resulting from research tasks are taken into account by
instructional designers and if the instructional designer prescribed activities
are really follow by learners or tutors? To answer these questions, we have
made a survey about ICLS actors uses.
"
0705.0593,Clustering with Lattices in the Analysis of Graph Patterns,cs.AI cs.DS,"  Mining frequent subgraphs is an area of research where we have a given set of
graphs (each graph can be seen as a transaction), and we search for (connected)
subgraphs contained in many of these graphs. In this work we will discuss
techniques used in our framework Lattice2SAR for mining and analysing frequent
subgraph data and their corresponding lattice information. Lattice information
is provided by the graph mining algorithm gSpan; it contains all
supergraph-subgraph relations of the frequent subgraph patterns -- and their
supports.
  Lattice2SAR is in particular used in the analysis of frequent graph patterns
where the graphs are molecules and the frequent subgraphs are fragments. In the
analysis of fragments one is interested in the molecules where patterns occur.
This data can be very extensive and in this paper we focus on a technique of
making it better available by using the lattice information in our clustering.
Now we can reduce the number of times the highly compressed occurrence data
needs to be accessed by the user. The user does not have to browse all the
occurrence data in search of patterns occurring in the same molecules. Instead
one can directly see which frequent subgraphs are of interest.
"
0801.4061,The optimal assignment kernel is not positive definite,cs.LG,"  We prove that the optimal assignment kernel, proposed recently as an attempt
to embed labeled graphs and more generally tuples of basic data to a Hilbert
space, is in fact not always positive definite.
"
0704.3933,Testing entropy production hypotheses in non-linear steady states,physics.chem-ph,"  In the last few decades, some hypotheses for entropy production (EP)
principles have been forwarded as possible candidates for organizational
principles in non-linear non- equilibrium systems. Two important hypotheses
will be studied: the maximum entropy production (MaxEP) principle that claims
that the selected steady state has the highest EP, and the gradient response
principle that claims that the EP of the selected steady state (maximally)
increases when the external thermodynamic driving force increases. We will
formulate these hypotheses more rigorously and present a simple chemical
reaction model to test these hypotheses. With the help of this model, we will
clearly demonstrate that there are different MaxEP hypotheses being discussed
in the literature and we will look at some parts in the literature where these
differences are not always clarified. Furthermore, our chemical model will be a
general counter example to all of these MaxEP and gradient response hypotheses.
"
